Date: 2017/04/13 14:11:27.608 | Message: [16459396] | Index taks was started.
Date: 2017/04/13 14:11:27.617 | Message: [16459396] | Import task status will be changed from Failed to InProgress
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02011901 | Price: 732 | Keywords: 6561040 2281 ???.?????? ???????? ??? ???.? 2-57 ??? 15.03.2016 ???? 1 ??? 15.03.2016  ??? - 122,00 ???
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02011901 | Price: 2376 | Keywords: 6561040 2281 ???.?????? ??????? ??? ???.? 2-94 ??? 15.03.2016 ???? 1 ??? 15.03.2016  ??? - 396,00 ???
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 37393782 | Price: 680 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???.? 796/12 " ?/? 48 ?i? 09.03.16 ??? ???.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02125289 | Price: 792 | Keywords: 2201160 2282 ?????? ?? ??????? ?? ????i?????? ?i?i????? ?????? ??i???? ???  ??? 1 ?i? 16.03.16?. ???.2-52 ?i? 16.03.16?. ???-792,00.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 31115684 | Price: 1584 | Keywords: 3507030/02 2240 1584,00 ???. ?? ?i?????i? ??i???? ??? ??. ????2-176 ?i? 28,03,16?. ????1 ?i?28,03,16?.? ?.?.???-264,00
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 39908375 | Price: 792 | Keywords: 6641010  2610  ?????? ?? ??????? ???.????? ???.??? ??.???? 1 ??? 24.03.2016  ???.? 2-60 ??? 23.03.2016 ,? ?.?. ??? - 132,00 ???.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 22869098 | Price: 8500 | Keywords: 2507030   2282-8500,00   ?i???????.????.i????.??.???.?86/15?i?25.09.2019,????16?i?01.04.2016   ??? ???
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02011901 | Price: 501 | Keywords: 6561040  2281  ???????? ?????? ????  ???.? 1-08 ??? 04.04.2016 ??? 1 ??? 04.04.2016  ??? - 83,50
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 07770190 | Price: 792 | Keywords: 2101080  2240  ?? ????i?????? ?i?i????? ?????? ??i???? ???  ???. ??. ???. 2-01 ?i? 12.04.2015 ?? ???? 1 ?i? 12.04.2016  ???-132,00.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 37393782 | Price: 680 | Keywords: 2501200 2730  ?i???. ????.???. ?????. ?????i??? ????. ??????????.  ?? "??? ??.i ???.???. ????, ??i ?????.??.????.???. ?796/12, ?/? 79 ?i? 06.04.2016. ??? ???.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 05417035 | Price: 2376 | Keywords: 6541030 2281 ?? ?i?.????i? ??i?.??? ??.???.?2-79 ?i? 22,02,16, ????2 ?i? 14,04,16 ? ?.?. ???-396,00.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 26125035 | Price: 1584 | Keywords: 070501 2240 ?????? ?? ????i?.?i?.?????? ??i?.???  ??i???? 2016?. ??? 2 ?i? 18.04.2016?. ???.2-167 ?i? 25.02.2016?. ? ?.?.???-264,00
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 05417228 | Price: 792 | Keywords: 6541030 2281 ????? ??  ????i?????? ?i??????? ??i???? ??? ?????i? ? 2-158 ?i? 25.02.16?. ?? ????? ? 2 ?i? 22.04.2016?.? ?.?.???-132,00
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 31115684 | Price: 1584 | Keywords: 3507030/02 2240 1584,00 ???. ?? ?i?????i? ??i???? ??? ??. ????2-176 ?i? 28,03,16?. ????2 ?i? 20,04,16?. ? ?.?.???-264,00
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 03922125 | Price: 1584 | Keywords: 1801190  2240  ????i?????? ?i?. ?????? ??i???? ???  ???. ?2-04 ?i? 06.05.16 ?., ????1 ?i? 10.05.16 ?.  ??? - 264,00.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 26125035 | Price: 894 | Keywords: 070501 2240 ?????? ?? ????i?.?i?.?????? ?i??.??? ? ????????. 05.2016?. ??? 2 ?i? 18.05.2016?. ???.2-167/1 ?i? 25.02.2016?. ? ?.?.???-149,00
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02125289 | Price: 792 | Keywords: 2201160 2282 ?????? ?? ??????? ?? ????i?????? ?i?i????? ?????? ??i???? ???  ??? 2 ?i? 17.05.16?. ???.2-52 ?i? 16.03.16?. ???-132,00.
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02011901 | Price: 2376 | Keywords: 6561040  2281  ???????? ?????? ??????? ???  ???.? 2-94 ??? 15.03.2016 ??? 2 ??? 23.05.2016  ??? - 396,00
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 02011901 | Price: 501 | Keywords: 6561040  2281  ???????? ?????? ??????? ???  ???.? 1-08 ??? 04.04.2016 ??? 2 ??? 23.05.2016  ??? - 417,50
Date: 2017/04/13 14:12:19.128 | Message: [16459396] | PayerId: 05398295 | Price: 792 | Keywords: 6541030  2281  ?? ???. ?????? ????. ??? ? 2??. 16?.  ?-??  ???. ?2-162 ??? 22.02.16?., ???? ?2 ??? 19.05.16?.  ???-132,00???.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 02128514 | Price: 30000 | Keywords: 6541030 2281 ????? ?? ??? ??.?.?01/16? ?i? 24.05.16. ??? ???.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 02011901 | Price: 732 | Keywords: 6561040  2281  ???????? ?????? ??????? ???  ???.? 2-57 ??? 15.03.2016 ??? 2 ??? 26.05.2016  ??? - 122,00
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 03922125 | Price: 792 | Keywords: 1801190  2240  ????i?????? ?i?. ?????? ??i???? ???  ???. ?2-04 ?i? 06.05.16 ?., ????2 ?i? 23.05.16 ?.  ??? - 132,00.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 34477817 | Price: 2376 | Keywords: *40301060 2240  ?? ?i?.????i? ??i???? ??? ??.?????2 ?i? 30.05.16?.???.?2-230 ?i?14.03.16?.4? ?.?.???-396,00
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 00019413 | Price: 8700 | Keywords: 2201080  2730  ?????? ??? ?? ???????-??????? - 3 ???., ????????? ??????i? ?i? 01.06.2016?. ?2, ????????? ??? ?i? 27.08.08 ?757
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 39389301 | Price: 9000 | Keywords: 1809020  2282  ????.? ????.??????.???????? ?? ??.??????.  ???.???26.05.2016 ?2  ??? ?2-1 ??? 26.05.2016  ???-1500,00???.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 07770190 | Price: 1584 | Keywords: 2101080  2240  ?? ????i?????? ?i?i????? ?????? ??i???? ???  ???. ??. ???. 2-01 ?i? 12.04.2015 ?? ???? 2 ?i? 07.06.2016  ???-264,00.
Date: 2017/04/13 14:12:19.141 | Message: [16459396] | PayerId: 05417035 | Price: 2376 | Keywords: 6541030 2281 ?? ?i?.????i? ??i?.??? ??.???.?2-79 ?i? 22,02,16, ????3 ?i? 08,06,16 ? ?.?. ???-396,00.
